date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:00:55	2073/2073	---MC-	302	error ('Found')	text/html	date:Wed,%2003%20Oct%202018%2020:00:59%20GMT	http://www.gmetrix.net/robots.txt		(from )
03:00:56	157615/157615	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Oct%202018%2020:00:58%20GMT	http://www.gmetrix.net/browsersms4.0//ProjectInstructions46V2.aspx?tstKey=24904&lng=en-US	C:/My%20Web%20Sites/G/www.gmetrix.net/browsersms4.0/ProjectInstructions46V29ff7.html	(from )
03:00:57	2432/2432	---MCZ	200	added ('OK')	text/css	etag:W/%22f1adfac1a11dd21:0%22	http://www.gmetrix.net/browsersms4.0//Styles/style.css	C:/My%20Web%20Sites/G/www.gmetrix.net/browsersms4.0/Styles/style.css	(from http://www.gmetrix.net/browsersms4.0//ProjectInstructions46V2.aspx?tstKey=24904&lng=en-US)
03:00:57	3274/3274	---M-Z	200	added ('OK')	text/css	etag:%2280a3559db7ed11:0%22	http://www.gmetrix.net/browsersms4.0/Styles/ProjectV2.css	C:/My%20Web%20Sites/G/www.gmetrix.net/browsersms4.0/Styles/ProjectV2.css	(from http://www.gmetrix.net/browsersms4.0//ProjectInstructions46V2.aspx?tstKey=24904&lng=en-US)
03:00:58	430/430	---M--	200	added ('OK')	image/png	etag:%2243db2f418486d01:0%22	http://www.gmetrix.net/browsersms4.0//Images/Tip_02.png	C:/My%20Web%20Sites/G/www.gmetrix.net/browsersms4.0/Images/Tip_02.png	(from http://www.gmetrix.net/browsersms4.0//ProjectInstructions46V2.aspx?tstKey=24904&lng=en-US)
03:00:58	84245/84245	---M-Z	200	added ('OK')	application/javascript	etag:%22802ec03b8486d01:0%22	http://www.gmetrix.net/browsersms4.0//Scripts/jquery-2.1.1.min.js	C:/My%20Web%20Sites/G/www.gmetrix.net/browsersms4.0/Scripts/jquery-2.1.1.min.js	(from http://www.gmetrix.net/browsersms4.0//ProjectInstructions46V2.aspx?tstKey=24904&lng=en-US)
03:01:18	112230/112230	---M--	200	added ('OK')	image/png	etag:%2208fbc29112ed11:0%22	http://www.gmetrix.net/browsersms4.0//Images/V2SampleImages/8726.png	C:/My%20Web%20Sites/G/www.gmetrix.net/browsersms4.0/Images/V2SampleImages/8726.png	(from http://www.gmetrix.net/browsersms4.0//ProjectInstructions46V2.aspx?tstKey=24904&lng=en-US)
03:01:26	165911/165911	---M--	200	added ('OK')	image/png	etag:%2226d2663f8486d01:0%22	http://www.gmetrix.net/browsersms4.0//Images/V2SampleImages/8725.png	C:/My%20Web%20Sites/G/www.gmetrix.net/browsersms4.0/Images/V2SampleImages/8725.png	(from http://www.gmetrix.net/browsersms4.0//ProjectInstructions46V2.aspx?tstKey=24904&lng=en-US)
03:01:29	13530/13530	---M--	200	added ('OK')	image/png	etag:%22f5183105b4dd11:0%22	http://www.gmetrix.net/browsersms4.0//Images/VideoImages/playButton.png	C:/My%20Web%20Sites/G/www.gmetrix.net/browsersms4.0/Images/VideoImages/playButton.png	(from http://www.gmetrix.net/browsersms4.0//ProjectInstructions46V2.aspx?tstKey=24904&lng=en-US)
03:01:34	229772/229772	---M--	200	added ('OK')	image/png	etag:%2226d2663f8486d01:0%22	http://www.gmetrix.net/browsersms4.0//Images/V2SampleImages/8724.png	C:/My%20Web%20Sites/G/www.gmetrix.net/browsersms4.0/Images/V2SampleImages/8724.png	(from http://www.gmetrix.net/browsersms4.0//ProjectInstructions46V2.aspx?tstKey=24904&lng=en-US)
03:01:38	149777/149777	---M--	200	added ('OK')	image/png	etag:%2256875105b4dd11:0%22	http://www.gmetrix.net/browsersms4.0//Images/VideoImages/Video24904.PNG	C:/My%20Web%20Sites/G/www.gmetrix.net/browsersms4.0/Images/VideoImages/Video24904.png	(from http://www.gmetrix.net/browsersms4.0//ProjectInstructions46V2.aspx?tstKey=24904&lng=en-US)
03:01:40	345330/345330	---M--	200	added ('OK')	image/png	etag:%22eb70643f8486d01:0%22	http://www.gmetrix.net/browsersms4.0//Images/V2SampleImages/8722.png	C:/My%20Web%20Sites/G/www.gmetrix.net/browsersms4.0/Images/V2SampleImages/8722.png	(from http://www.gmetrix.net/browsersms4.0//ProjectInstructions46V2.aspx?tstKey=24904&lng=en-US)
